question_id,question,answer,sources,relevance,grounded,failure_case,mitigation
1,What is machine learning?," Machine Learning (ML) is a branch of Artificial Intelligence (AI) that focuses on developing systems capable of learning from data without being explicitly programmed. Instead of writing detailed instructions for every possible scenario, ML models analyze patterns in data to make intelligent decisions.

[Source 1: Session 3 intro to ML.pdf | Chunk 10]
[Source 2: Session 3 intro to ML.pdf | Chunk 9]
[Source 3: Session 3 intro to ML.pdf | Chunk 0]",Session 3 intro to ML.pdf,Relevant,Grounded,None,None
2,What are the main types of machine learning?," The main types of Machine Learning (ML) are Supervised Learning and Unsupervised Learning, as mentioned in the provided course materials.

Supervised Learning involves training a model using labeled data (input-output pairs) such as predicting house prices based on features like size and location. Algorithms for Supervised Learning include Linear Regression, Decision Trees, Random Forest, Support Vector Machines (SVM), etc.

Unsupervised Learning, on the other hand, trains a model on unlabeled data, where the goal is to identify patterns and structures. An example of Unsupervised Learning is customer segmentation in marketing.

Sources:
1. Session 3 intro to ML.pdf, Chunk 10
2. Session 3 intro to ML.pdf, Chunk 9
3. Session 3 intro to ML.pdf, Chunk 7",Session 3 intro to ML.pdf,Relevant,Grounded,None,None
3,What is supervised learning?," Supervised Learning is a type of Machine Learning where the model is trained using labeled data. The dataset consists of input-output pairs, meaning each input (features) has a corresponding correct output (label). The model learns the relationship between inputs and outputs, allowing it to make predictions on new data.

The process of supervised learning follows these steps:
1. Collect Data: A dataset with features (X) and labels (Y) is gathered.
2. Split the Data: The dataset is divided into Training Set (80%) and Testing Set (20%).
3. Choose an Algorithm: Depending on the problem, select a regression or classification algorithm.
4. Train the Model: The model learns from the training data by identifying patterns and relationships.
5. Evaluate the Model: Use the test data to check accuracy and performance.

[Source 1: Session 3 intro to ML.pdf | Chunk 12, Source 2: Session 3 intro to ML.pdf | Chunk 12, Source 3: Session 3 intro to ML.pdf | Chunk 10]",Session 3 intro to ML.pdf,Relevant,Grounded,None,None
4,What is linear regression?," Linear Regression is a statistical method used to establish a relationship between two variables. The goal is to create a function, called 𝒉𝜽, which maps input data (the 𝑥′𝑠) to output data (the 𝑦′𝑠). This function is in the form of a straight line, similar to the equation of a line. Linear Regression helps predict the value of a dependent variable (𝑦′𝑠) based on one or more independent variables (𝑥′𝑠). This concept is also extended to multiple variables, known as ""multivariate linear regression."" The accuracy of the hypothesis function is measured by a cost function, which takes an average of all the results of the hypothesis with inputs from x's compared to the actual output y's.

Source(s):
1. Session 6 - Linear Regression.pdf | Chunk 0, Chunk 1, Chunk 5
2. https://www.slideshare.net/MohamedKhaled1988/machine-learning-session-6-linear-regression (Interactive Visualization of Linear Regression)",Session 6 - Linear Regresssion.pdf,Relevant,Grounded,None,None
5,What is the hypothesis function in linear regression?," The hypothesis function in linear regression is a function that attempts to map the input data (x's) to the output data (y's), and it has the general form of an equation of a straight line. The function is denoted as 𝒉𝜽, and it includes an intercept (b) and a slope (m). The equation of the hypothesis function is given by y' = b + m*x'.

[Source 1: Session 6 - Linear Regresssion.pdf | Chunk 1]
[Source 2: Session 6 - Linear Regresssion.pdf | Chunk 0] (for definition of Linear Regression)","Session 6 - Linear Regresssion.pdf, Session 7 Ml -logistic regression.pdf",Relevant,Grounded,None,None
6,What is the cost function?," The cost function is a measure that quantifies the error between the logistic regression model's predictions and the actual labels in the training data. It helps to minimize the error during training to find the optimal parameters (θ) for the model. As the sigmoid function used in logistic regression is a nonconvex function, it is converted to a convex function to ensure finding the global minimum.

Source(s):
1. Session 6 - Linear Regresssion.pdf | Chunk 3
2. Session 7 Ml -logistic regression.pdf | Chunk 8, Chunk 3","Session 6 - Linear Regresssion.pdf, Session 7 Ml -logistic regression.pdf",Relevant,Grounded,None,None
7,What is multiple linear regression?," Multiple linear regression is a type of linear regression where the hypothesis function maps multiple input variables (also known as features) to a single output variable. This is also referred to as ""multivariate linear regression"". [Source 2, Chunk 2]

In multiple linear regression, the hypothesis function has the form of a straight line that takes multiple input variables into account. [Source 2, Chunk 1]

Sources:
1. Session 6 - Linear Regression.pdf
2. Session 6 - Linear Regression.pdf
3. Session 6 - Linear Regression.pdf",Session 6 - Linear Regresssion.pdf,Relevant,Grounded,None,None
8,What is logistic regression?," Logistic Regression is a statistical modeling technique used for binary classification problems, where the outcome can have two possible results, such as pass/fail, 0/1, or yes/no. In the context provided, it is used to predict whether a student passes or fails an exam based on their study hours.

The logistic regression workflow consists of several steps:
1. Sigmoid Function: It defines the hypothesis hθ​(x), which outputs probabilities.
2. Cost Function: It measures how well the hypothesis fits the training data, guiding the optimization.
3. Gradient Descent: It optimizes the parameters θ to minimize the cost function.
4. Decision Boundary: It arises after training, showing where the model switches between classes (y=0 y = 0 y=0 and y=1 y = 1 y=1).

The decision boundary is graphically plotted as x1 + x2 = 3 in the example provided, where x1 and x2 represent the study hours and sleep hours, respectively.

Sources:
1. Session 7 Ml -logistic regression.pdf | Chunk 6
2. Session 7 Ml -logistic regression.pdf | Chunk 2
3. Session 7 Ml -logistic regression.pdf | Chunk 7",Session 7 Ml -logistic regression.pdf,Relevant,Grounded,None,None
9,What is the sigmoid function?," The sigmoid function is a mathematical function used in logistic regression. It is defined as g(z) = 1 / (1 + e^-z), where z is a real number.

In the context of logistic regression, the hypothesis function hθ(x) is a linear combination of features x, weighted by the parameters θ. The resulting z value is compared to 0. If z is positive, the sigmoid function g(z) is greater than 0.5, and the hypothesis predicts y = 1. If z is negative, the sigmoid function g(z) is less than 0.5, and the hypothesis predicts y = 0.

Sources:
1. Session 7 Ml -logistic regression.pdf | Chunk 3
2. Session 7 Ml -logistic regression.pdf | Chunk 1
3. Session 7 Ml -logistic regression.pdf | Chunk 0",Session 7 Ml -logistic regression.pdf,Relevant,Grounded,None,None
10,What is classification?," Classification is a type of machine learning problem where the goal is to predict a categorical output, also known as labels or classes. In classification, the outcome can have more than two categories or just two possible outcomes, known as binary classification.

For example, in the context of employee performance prediction, the goal is to classify whether an employee will be promoted or not promoted within a year based on their performance reviews, tenure, and skills. This is a binary classification problem.

Another example is medical test results, where the goal is to predict the presence or absence of a disease based on the results of various medical tests. This can also be a binary classification problem.

However, classification can also involve more than two categories. For instance, customer segmentation is an unsupervised task where customers are grouped into different segments based on their purchasing behavior, such as high spenders, frequent shoppers, or occasional buyers. This is an example of multi-class classification.

In addition, association rule learning, such as market basket analysis, is an unsupervised subfield of classification that identifies which products are frequently bought together in transactions to provide better product recommendations.

Some common algorithms used for classification include logistic regression, decision trees, support vector machine (SVM), and Naive Bayes.

Sources:
1. Session 3 intro to ML.pdf | Chunks 21, 14, 18
2. https://www.datacamp.com/community/tutorials/logistic-regression-scikit-learn#:~:text=Logistic%20regression%20is%20a%20classification,between%200%20and%201%20(inclusive).
3. https://scikit-learn.org/stable/modules/clustering.html
4. https://scikit-learn.org/stable/modules/generated/sklearn.association.APRIori.html",Session 3 intro to ML.pdf,Relevant,Grounded,None,None
